Dataset,DNN,CMR,FR(%)
MNIST,MNIST_AlexNet_9938,2035,0.16
MNIST,MNIST_AlexNet_9938,2036,0.31
MNIST,MNIST_AlexNet_9938,2041,2.08
MNIST,MNIST_AlexNet_9938,2043,0.48
MNIST,MNIST_AlexNet_9938,2045,1.1900000000000002
MNIST,MNIST_AlexNet_9938,2046,1.5699999999999998
MNIST,MNIST_AlexNet_9938,2051,0.73
MNIST,MNIST_AlexNet_9938,2053,0.11
MNIST,MNIST_AlexNet_9938,2054,1.16
MNIST,MNIST_AlexNet_9938,2056,2.3800000000000003
MNIST,MNIST_AlexNet_9938,2061,1.23
MNIST,MNIST_AlexNet_9938,2063,0.22999999999999998
MNIST,MNIST_AlexNet_9938,2064,1.5699999999999998
MNIST,MNIST_AlexNet_9938,2065,2.7199999999999998
MNIST,MNIST_AlexNet_9938,2103,0.3
MNIST,MNIST_AlexNet_9938,2104,2.07
